entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,browser,operating_system,login_result,risk_score,attack_type,label,hour,day,weekday,is_weekend_flag,month,is_office_hours,is_weekend,is_sensitive_resource,long_session,failed_login,new_device,resource_frequency,hour_sin,hour_cos,session_duration_normalized,prediction,risk_level,explanation
user_0039,2,2026-05-21 18:04:31.000000,172.22.175.151,3,7,3,903,6,6c64bc02-2d28-4114-950a-49fae1541646,4,5,0,40,Normal,0,18,21,3,0,5,1,0,1,0,1,0,0.40236686390532544,-1.0,-1.8369701987210297e-16,0.16565464895635673,0,Medium,"Sensitive resource, Failed login"
dev_0001,0,2026-07-03 07:46:08.000000,192.168.209.79,3,6,4,858,7,8d2265ae-0867-47b8-acc9-0fe02613db70,2,2,1,35,Normal,0,7,3,4,0,7,0,0,1,0,0,0,0.27167630057803466,0.9659258262890683,-0.25881904510252063,0.1571157495256167,0,Medium,"Off-hour login, Sensitive resource"
user_0034,2,2026-06-13 15:01:31.000000,192.168.41.211,8,1,2,396,12,7311a3a2-124e-4295-a182-2d24701a7ef7,0,5,1,30,Normal,0,15,13,5,1,6,1,1,1,0,0,0,0.41134751773049644,-0.7071067811865471,-0.7071067811865479,0.06944971537001897,0,Medium,"Weekend login, Sensitive resource"
user_0039,2,2026-06-16 16:17:18.000000,172.22.175.192,3,1,3,741,10,6c64bc02-2d28-4114-950a-49fae1541646,4,5,1,20,Normal,0,16,16,1,0,6,1,0,1,0,0,0,0.27218934911242604,-0.8660254037844385,-0.5000000000000004,0.1349146110056926,0,Low,Sensitive resource
user_0028,2,2026-06-01 16:09:08.000000,172.23.38.59,5,4,3,354,4,46efdefd-93ab-45ce-af8a-f7ed84cf14a1,0,4,1,0,Normal,0,16,1,0,0,6,1,0,0,0,0,0,0.33121019108280253,-0.8660254037844385,-0.5000000000000004,0.06148007590132827,0,Low,No risk indicators
dev_0005,0,2026-06-19 21:16:53.000000,10.101.75.89,1,8,4,819,9,be7bf241-aa02-4309-8860-ce04620838c8,0,4,1,35,Normal,0,21,19,4,0,6,0,0,1,0,0,0,0.31724137931034485,-0.7071067811865477,0.7071067811865474,0.14971537001897534,0,Medium,"Off-hour login, Sensitive resource"
user_0022,2,2026-05-02 11:32:38.000000,10.115.32.127,3,7,0,245,6,a31b62cd-24cf-4f72-9697-644e42c0690c,2,0,1,30,Normal,0,11,2,5,1,5,1,1,1,0,0,0,0.3032258064516129,0.258819045102521,-0.9659258262890682,0.04079696394686907,0,Medium,"Weekend login, Sensitive resource"
user_0021,2,2026-07-25 10:40:36.000000,192.168.159.143,1,4,3,939,4,f1e804c2-7940-4782-a7b6-59ff942c79f4,0,3,1,10,Normal,0,10,25,5,1,7,1,1,0,0,0,0,0.2987012987012987,0.49999999999999994,-0.8660254037844387,0.17248576850094877,0,Low,Weekend login
dev_0001,0,2026-06-29 07:31:40.000000,192.168.209.153,3,5,4,773,1,8d2265ae-0867-47b8-acc9-0fe02613db70,2,2,1,15,Normal,0,7,29,0,0,6,0,0,0,0,0,0,0.36416184971098264,0.9659258262890683,-0.25881904510252063,0.1409867172675522,0,Low,Off-hour login
user_0004,2,2026-07-09 12:07:25.000000,172.16.81.198,7,1,2,738,10,c1084433-e9e2-46ea-8099-cfac42dfb133,2,2,1,20,Normal,0,12,9,3,0,7,1,0,1,0,0,0,0.32941176470588235,1.2246467991473532e-16,-1.0,0.13434535104364326,0,Low,Sensitive resource
svc_0005,1,2026-07-24 23:17:38.000000,192.168.55.51,6,8,2,627,9,5d57a325-a039-4e37-a135-f5bfc828ada6,2,3,1,35,Normal,0,23,24,4,0,7,0,0,1,0,0,0,0.336734693877551,-0.25881904510252157,0.9659258262890681,0.11328273244781784,0,Medium,"Off-hour login, Sensitive resource"
user_0039,2,2026-05-17 10:28:18.000000,172.22.175.210,3,7,3,926,6,6c64bc02-2d28-4114-950a-49fae1541646,4,5,1,30,Normal,0,10,17,6,1,5,1,1,1,0,0,0,0.40236686390532544,0.49999999999999994,-0.8660254037844387,0.1700189753320683,0,Medium,"Weekend login, Sensitive resource"
user_0035,2,2026-06-07 15:08:25.000000,10.160.122.202,7,7,3,750,6,f07218bf-f0f3-4a94-867d-66f667504c9e,4,5,1,30,Normal,0,15,7,6,1,6,1,1,1,0,0,0,0.36470588235294116,-0.7071067811865471,-0.7071067811865479,0.1366223908918406,0,Medium,"Weekend login, Sensitive resource"
user_0009,2,2026-07-21 12:08:52.000000,192.168.87.56,4,10,2,616,11,23abb625-40c9-4a2a-bbc3-d1d58d0aea3a,4,3,1,0,Normal,0,12,21,1,0,7,1,0,0,0,0,0,0.31547619047619047,1.2246467991473532e-16,-1.0,0.1111954459203036,0,Low,No risk indicators
user_0027,2,2026-06-10 12:29:07.000000,10.127.98.206,4,10,2,656,11,9af1c663-ba5e-4a3e-bc58-78f28d6b95b1,4,2,1,0,Normal,0,12,10,2,0,6,1,0,0,0,0,0,0.2727272727272727,1.2246467991473532e-16,-1.0,0.11878557874762809,0,Low,No risk indicators
user_0006,2,2026-07-25 09:10:38.000000,192.168.63.47,7,3,1,484,3,f4aef081-9e0e-4fd1-9d63-3196c819d12e,0,5,1,30,Normal,0,9,25,5,1,7,1,1,1,0,0,0,0.37640449438202245,0.7071067811865476,-0.7071067811865475,0.08614800759013283,0,Medium,"Weekend login, Sensitive resource"
user_0027,2,2026-05-14 18:15:25.000000,10.127.98.162,4,3,2,580,3,9af1c663-ba5e-4a3e-bc58-78f28d6b95b1,4,2,1,20,Normal,0,18,14,3,0,5,1,0,1,0,0,0,0.3181818181818182,-1.0,-1.8369701987210297e-16,0.10436432637571158,0,Low,Sensitive resource
user_0038,2,2026-07-10 08:22:06.000000,10.153.53.91,9,10,2,1082,11,94340351-1f55-47c2-bdb6-1f12d855844a,0,2,1,0,Normal,0,8,10,4,0,7,1,0,0,0,0,0,0.3719512195121951,0.8660254037844387,-0.4999999999999998,0.19962049335863377,0,Low,No risk indicators
svc_0009,1,2026-06-25 00:25:13.000000,172.22.130.63,5,0,0,508,0,24c6dd4c-bba2-49cd-a3c0-89940f328f7f,0,0,1,15,Normal,0,0,25,3,0,6,0,0,0,0,0,0,0.36419753086419754,0.0,1.0,0.09070208728652751,0,Low,Off-hour login
svc_0009,1,2026-07-15 20:26:25.000000,172.22.130.50,5,0,0,874,0,24c6dd4c-bba2-49cd-a3c0-89940f328f7f,0,0,1,15,Normal,0,20,15,2,0,7,0,0,0,0,0,0,0.36419753086419754,-0.8660254037844386,0.5000000000000001,0.1601518026565465,0,Low,Off-hour login
svc_0008,1,2026-04-29 17:56:08.000000,10.55.222.172,0,10,3,718,11,d8cc8bc6-8d4b-411f-82b8-90abe5a670e0,0,0,1,0,Normal,0,17,29,2,0,4,1,0,0,0,0,0,0.3277777777777778,-0.9659258262890683,-0.25881904510252063,0.13055028462998103,0,Low,No risk indicators
user_0009,2,2026-05-21 08:44:12.000000,192.168.87.220,4,3,2,702,3,23abb625-40c9-4a2a-bbc3-d1d58d0aea3a,4,3,1,20,Normal,0,8,21,3,0,5,1,0,1,0,0,0,0.31547619047619047,0.8660254037844387,-0.4999999999999998,0.12751423149905122,0,Low,Sensitive resource
user_0017,2,2026-06-07 13:39:42.000000,192.168.152.184,8,0,2,30,0,16c776ae-77d7-47a5-a047-2b1f5d82656f,2,2,1,10,Normal,0,13,7,6,1,6,1,1,0,0,0,0,0.28651685393258425,-0.2588190451025208,-0.9659258262890683,0.0,0,Low,Weekend login
user_0030,2,2026-06-10 12:29:40.000000,10.199.135.223,0,0,4,481,0,dab42e8b-d88d-4639-ab93-84affb134023,0,1,1,0,Normal,0,12,10,2,0,6,1,0,0,0,0,0,0.2958579881656805,1.2246467991473532e-16,-1.0,0.08557874762808348,0,Low,No risk indicators
user_0039,2,2026-07-10 18:12:47.000000,172.22.175.33,3,1,3,539,12,6c64bc02-2d28-4114-950a-49fae1541646,4,5,1,20,Normal,0,18,10,4,0,7,1,0,1,0,0,0,0.27218934911242604,-1.0,-1.8369701987210297e-16,0.09658444022770399,0,Low,Sensitive resource
user_0029,2,2026-05-26 16:54:18.000000,10.85.208.88,0,10,4,253,11,00c6c120-68a9-4c9a-b771-62d6e1c2a691,1,2,1,0,Normal,0,16,26,1,0,5,1,0,0,0,0,0,0.35638297872340424,-0.8660254037844385,-0.5000000000000004,0.042314990512333964,0,Low,No risk indicators
user_0027,2,2026-06-16 08:44:11.000000,10.127.98.153,4,10,2,470,11,9af1c663-ba5e-4a3e-bc58-78f28d6b95b1,4,2,1,0,Normal,0,8,16,1,0,6,1,0,0,0,0,0,0.2727272727272727,0.8660254037844387,-0.4999999999999998,0.08349146110056926,0,Low,No risk indicators
svc_0002,1,2026-04-29 02:42:38.000000,192.168.75.172,7,0,2,356,0,6dc430cf-d03e-4a9a-8eef-11613a2611d2,3,4,1,15,Normal,0,2,29,2,0,4,0,0,0,0,0,0,0.31333333333333335,0.49999999999999994,0.8660254037844387,0.0618595825426945,0,Low,Off-hour login
dev_0003,0,2026-06-01 13:06:23.000000,172.22.220.186,1,5,4,580,1,c5e3a45d-0416-4be1-a9de-a7b4d9e5d73c,2,0,1,0,Normal,0,13,1,0,0,6,1,0,0,0,0,0,0.33540372670807456,-0.2588190451025208,-0.9659258262890683,0.10436432637571158,0,Low,No risk indicators
user_0037,2,2026-06-25 10:41:37.000000,10.125.189.35,3,4,1,263,4,35398fc2-c65e-4cb6-8fa3-1f63cf498aa2,3,0,1,0,Normal,0,10,25,3,0,6,1,0,0,0,0,0,0.3485714285714286,0.49999999999999994,-0.8660254037844387,0.044212523719165085,0,Low,No risk indicators
user_0035,2,2026-06-15 18:30:29.000000,10.160.122.81,7,7,3,776,6,f07218bf-f0f3-4a94-867d-66f667504c9e,4,5,1,20,Normal,0,18,15,0,0,6,1,0,1,0,0,0,0.36470588235294116,-1.0,-1.8369701987210297e-16,0.14155597722960153,0,Low,Sensitive resource
user_0013,2,2026-04-27 09:31:03.000000,172.28.185.201,1,0,3,547,0,e8a4f7eb-1bcc-4f70-b59e-49bd63602b61,1,4,1,0,Normal,0,9,27,0,0,4,1,0,0,0,0,0,0.35403726708074534,0.7071067811865476,-0.7071067811865475,0.09810246679316888,0,Low,No risk indicators
dev_0003,0,2026-07-11 07:53:59.000000,172.22.220.23,1,8,4,597,9,c5e3a45d-0416-4be1-a9de-a7b4d9e5d73c,2,0,1,45,Normal,0,7,11,5,1,7,0,1,1,0,0,0,0.32298136645962733,0.9659258262890683,-0.25881904510252063,0.10759013282732448,0,Medium,"Off-hour login, Weekend login, Sensitive resource"
user_0022,2,2026-05-10 17:40:48.000000,10.115.32.196,3,7,0,543,6,a31b62cd-24cf-4f72-9697-644e42c0690c,2,0,1,30,Normal,0,17,10,6,1,5,1,1,1,0,0,0,0.3032258064516129,-0.9659258262890683,-0.25881904510252063,0.09734345351043644,0,Medium,"Weekend login, Sensitive resource"
svc_0004,1,2026-07-20 04:21:22.000000,10.211.12.210,0,8,0,787,9,e9992184-531c-431b-adac-b062b0f934bc,2,5,1,35,Normal,0,4,20,0,0,7,0,0,1,0,0,0,0.28662420382165604,0.8660254037844386,0.5000000000000001,0.14364326375711575,0,Medium,"Off-hour login, Sensitive resource"
user_0014,2,2026-04-27 09:46:03.000000,10.81.216.59,0,3,1,240,3,7ecf9e90-0d56-4a91-a9e3-82f599d34e96,0,3,1,20,Normal,0,9,27,0,0,4,1,0,1,0,0,0,0.2714285714285714,0.7071067811865476,-0.7071067811865475,0.03984819734345351,0,Low,Sensitive resource
dev_0002,0,2026-06-09 10:37:24.000000,192.168.194.219,0,6,2,664,7,f95ea9d1-d2e9-48c8-a38b-fc96b0af2f93,0,4,1,20,Normal,0,10,9,1,0,6,1,0,1,0,0,0,0.28160919540229884,0.49999999999999994,-0.8660254037844387,0.12030360531309298,0,Low,Sensitive resource
user_0026,2,2026-05-27 18:55:00.000000,192.168.27.7,5,0,2,838,0,8ee61517-f438-4190-b1f4-e99a471b59fd,4,1,1,0,Normal,0,18,27,2,0,5,1,0,0,0,0,0,0.3157894736842105,-1.0,-1.8369701987210297e-16,0.15332068311195446,0,Low,No risk indicators
dev_0009,0,2026-05-13 06:11:37.000000,172.24.126.92,6,6,3,613,7,7e258f18-160b-4a2c-bf80-a9e1e2d5eac2,3,3,1,35,Normal,0,6,13,2,0,5,0,0,1,0,0,0,0.3448275862068966,1.0,6.123233995736766e-17,0.11062618595825427,0,Medium,"Off-hour login, Sensitive resource"
dev_0003,0,2026-05-17 17:25:21.000000,172.22.220.109,1,8,4,564,9,c5e3a45d-0416-4be1-a9de-a7b4d9e5d73c,2,0,0,70,Normal,0,17,17,6,1,5,1,1,1,0,1,0,0.32298136645962733,-0.9659258262890683,-0.25881904510252063,0.10132827324478179,1,High,"Weekend login, Sensitive resource, Failed login, Isolation Forest anomaly"
user_0007,2,2026-05-30 10:23:52.000000,10.35.23.75,9,1,4,448,10,fe4f4d53-3b9a-4386-b718-578b0d1a02cb,2,4,1,30,Normal,0,10,30,5,1,5,1,1,1,0,0,0,0.3719512195121951,0.49999999999999994,-0.8660254037844387,0.0793168880455408,0,Medium,"Weekend login, Sensitive resource"
user_0034,2,2026-07-10 13:07:22.000000,192.168.41.45,8,1,2,849,12,7311a3a2-124e-4295-a182-2d24701a7ef7,0,5,1,20,Normal,0,13,10,4,0,7,1,0,1,0,0,0,0.41134751773049644,-0.2588190451025208,-0.9659258262890683,0.15540796963946868,0,Low,Sensitive resource
dev_0007,0,2026-06-10 20:39:23.000000,10.90.237.247,9,8,4,519,9,b7bb20a4-6690-449d-8f73-2988644ae253,4,2,1,35,Normal,0,20,10,2,0,6,0,0,1,0,0,0,0.3526315789473684,-0.8660254037844386,0.5000000000000001,0.09278937381404175,0,Medium,"Off-hour login, Sensitive resource"
svc_0004,1,2026-07-09 05:30:33.000000,10.211.12.167,0,0,0,76,0,e9992184-531c-431b-adac-b062b0f934bc,2,5,1,15,Normal,0,5,9,3,0,7,0,0,0,0,0,0,0.3375796178343949,0.9659258262890683,0.25881904510252074,0.00872865275142315,0,Low,Off-hour login
user_0016,2,2026-05-24 09:11:13.000000,10.232.1.226,3,7,3,382,6,341504dd-8221-44e1-a3e3-4a467f4260aa,2,0,1,30,Normal,0,9,24,6,1,5,1,1,1,0,0,0,0.34104046242774566,0.7071067811865476,-0.7071067811865475,0.0667931688804554,0,Medium,"Weekend login, Sensitive resource"
user_0005,2,2026-07-07 11:48:32.000000,10.47.194.68,8,2,4,698,2,e03d7c74-4a2a-4966-b026-0f9cb6700500,3,4,1,0,Normal,0,11,7,1,0,7,1,0,0,0,0,0,0.3469387755102041,0.258819045102521,-0.9659258262890682,0.1267552182163188,0,Low,No risk indicators
user_0018,2,2026-05-24 10:11:02.000000,10.0.165.127,2,1,3,460,12,940a9217-e12e-4336-a842-1615cd2a73c3,3,2,1,30,Normal,0,10,24,6,1,5,1,1,1,0,0,0,0.27439024390243905,0.49999999999999994,-0.8660254037844387,0.08159392789373814,0,Medium,"Weekend login, Sensitive resource"
user_0020,2,2026-07-22 17:46:34.000000,192.168.84.134,0,1,0,740,10,ba6fdd1c-e5c7-4ab3-bcd1-74722f7c20bb,2,0,1,20,Normal,0,17,22,2,0,7,1,0,1,0,0,0,0.3837837837837838,-0.9659258262890683,-0.25881904510252063,0.1347248576850095,0,Low,Sensitive resource
dev_0006,0,2026-05-20 05:08:17.000000,172.22.196.196,4,9,4,251,8,924a8d01-b7e0-4be6-9319-ae8392ec9b6c,1,4,1,35,Normal,0,5,20,2,0,5,0,0,1,0,0,0,0.375,0.9659258262890683,0.25881904510252074,0.041935483870967745,0,Medium,"Off-hour login, Sensitive resource"
user_0007,2,2026-05-20 13:03:06.000000,10.35.23.98,9,7,4,187,6,fe4f4d53-3b9a-4386-b718-578b0d1a02cb,2,4,1,20,Normal,0,13,20,2,0,5,1,0,1,0,0,0,0.3353658536585366,-0.2588190451025208,-0.9659258262890683,0.029791271347248578,0,Low,Sensitive resource
user_0040,2,2026-05-07 16:15:39.000000,10.216.141.245,4,7,4,741,6,385be631-cffa-4ba1-a00d-8b72bb9920a7,3,2,1,20,Normal,0,16,7,3,0,5,1,0,1,0,0,0,0.4036144578313253,-0.8660254037844385,-0.5000000000000004,0.1349146110056926,0,Low,Sensitive resource
user_0037,2,2026-07-07 16:09:08.000000,10.125.189.63,3,9,1,74,8,35398fc2-c65e-4cb6-8fa3-1f63cf498aa2,3,0,1,20,Lateral Movement,1,16,7,1,0,7,1,0,1,0,0,0,0.005714285714285714,-0.8660254037844385,-0.5000000000000004,0.008349146110056925,0,Low,Sensitive resource
user_0005,2,2026-06-20 09:28:29.000000,10.47.194.227,8,2,4,330,2,e03d7c74-4a2a-4966-b026-0f9cb6700500,3,4,1,10,Normal,0,9,20,5,1,6,1,1,0,0,0,0,0.3469387755102041,0.7071067811865476,-0.7071067811865475,0.056925996204933584,0,Low,Weekend login
user_0009,2,2026-04-27 18:21:59.000000,192.168.87.234,4,10,2,291,11,23abb625-40c9-4a2a-bbc3-d1d58d0aea3a,4,3,1,0,Normal,0,18,27,0,0,4,1,0,0,0,0,0,0.31547619047619047,-1.0,-1.8369701987210297e-16,0.04952561669829222,0,Low,No risk indicators
svc_0006,1,2026-05-09 01:53:27.000000,172.23.114.7,0,0,3,682,0,7a7f36f8-b35e-42ad-8ea5-a3ca82913458,3,5,0,65,Normal,0,1,9,5,1,5,0,1,0,0,1,0,0.35172413793103446,0.25881904510252074,0.9659258262890683,0.123719165085389,1,High,"Off-hour login, Weekend login, Failed login, Isolation Forest anomaly"
user_0022,2,2026-07-09 16:33:19.000000,10.115.32.241,3,3,0,540,3,a31b62cd-24cf-4f72-9697-644e42c0690c,2,0,1,20,Normal,0,16,9,3,0,7,1,0,1,0,0,0,0.32903225806451614,-0.8660254037844385,-0.5000000000000004,0.0967741935483871,0,Low,Sensitive resource
user_0012,2,2026-05-21 18:50:13.000000,10.135.71.19,3,10,1,312,11,b767da4b-2996-43e9-bba5-39c4f7f01fef,3,1,1,0,Normal,0,18,21,3,0,5,1,0,0,0,0,0,0.26785714285714285,-1.0,-1.8369701987210297e-16,0.05351043643263757,0,Low,No risk indicators
user_0020,2,2026-07-23 16:24:21.000000,192.168.84.118,0,3,0,154,3,ba6fdd1c-e5c7-4ab3-bcd1-74722f7c20bb,2,0,1,20,Normal,0,16,23,3,0,7,1,0,1,0,0,0,0.3027027027027027,-0.8660254037844385,-0.5000000000000004,0.023529411764705882,0,Low,Sensitive resource
svc_0004,1,2026-06-21 15:27:47.000000,10.211.12.32,0,10,0,457,11,e9992184-531c-431b-adac-b062b0f934bc,2,5,1,10,Normal,0,15,21,6,1,6,1,1,0,0,0,0,0.37579617834394907,-0.7071067811865471,-0.7071067811865479,0.0810246679316888,0,Low,Weekend login
dev_0005,0,2026-05-22 23:09:30.000000,10.101.75.207,1,8,4,474,9,be7bf241-aa02-4309-8860-ce04620838c8,0,4,1,35,Normal,0,23,22,4,0,5,0,0,1,0,0,0,0.31724137931034485,-0.25881904510252157,0.9659258262890681,0.0842504743833017,0,Medium,"Off-hour login, Sensitive resource"
svc_0004,1,2026-06-14 03:24:16.000000,10.211.12.139,0,0,0,729,0,e9992184-531c-431b-adac-b062b0f934bc,2,5,1,25,Normal,0,3,14,6,1,6,0,1,0,0,0,0,0.3375796178343949,0.7071067811865476,0.7071067811865476,0.13263757115749525,0,Medium,"Off-hour login, Weekend login"
svc_0006,1,2026-05-04 10:09:52.000000,172.23.114.184,0,0,3,279,0,7a7f36f8-b35e-42ad-8ea5-a3ca82913458,3,5,1,0,Normal,0,10,4,0,0,5,1,0,0,0,0,0,0.35172413793103446,0.49999999999999994,-0.8660254037844387,0.04724857685009488,0,Low,No risk indicators
user_0002,2,2026-05-28 16:58:30.000000,192.168.44.115,5,2,0,638,2,8e0148f7-9de8-4a46-a286-6c4a26c50ebc,1,2,1,0,Normal,0,16,28,3,0,5,1,0,0,0,0,0,0.281437125748503,-0.8660254037844385,-0.5000000000000004,0.11537001897533207,0,Low,No risk indicators
svc_0010,1,2026-05-23 06:51:12.000000,172.29.35.189,9,0,2,781,0,67630e3e-9b3d-4703-9e69-15d4e248ed2f,3,0,1,25,Normal,0,6,23,5,1,5,0,1,0,0,0,0,0.2545454545454545,1.0,6.123233995736766e-17,0.1425047438330171,0,Medium,"Off-hour login, Weekend login"
svc_0009,1,2026-05-23 11:37:37.000000,172.22.130.198,5,1,0,456,12,24c6dd4c-bba2-49cd-a3c0-89940f328f7f,0,0,1,30,Normal,0,11,23,5,1,5,1,1,1,0,0,0,0.3148148148148148,0.258819045102521,-0.9659258262890682,0.0808349146110057,0,Medium,"Weekend login, Sensitive resource"
user_0028,2,2026-07-09 14:51:31.000000,172.23.38.29,5,2,3,531,2,46efdefd-93ab-45ce-af8a-f7ed84cf14a1,0,4,1,0,Normal,0,14,9,3,0,7,1,0,0,0,0,0,0.34394904458598724,-0.4999999999999997,-0.8660254037844388,0.09506641366223909,0,Low,No risk indicators
user_0040,2,2026-05-05 18:09:57.000000,10.216.141.145,4,7,4,724,6,385be631-cffa-4ba1-a00d-8b72bb9920a7,3,2,1,20,Normal,0,18,5,1,0,5,1,0,1,0,0,0,0.4036144578313253,-1.0,-1.8369701987210297e-16,0.1316888045540797,0,Low,Sensitive resource
svc_0001,1,2026-06-26 02:21:33.000000,192.168.218.144,4,10,2,1024,11,94021491-d8ae-437d-81ef-98192c57478e,0,4,1,15,Normal,0,2,26,4,0,6,0,0,0,0,0,0,0.3258426966292135,0.49999999999999994,0.8660254037844387,0.1886148007590133,0,Low,Off-hour login
dev_0010,0,2026-07-13 11:59:20.000000,192.168.146.201,2,8,0,186,9,a8e21831-21fe-49b6-a148-5fca88e12937,0,4,1,20,Normal,0,11,13,0,0,7,1,0,1,0,0,0,0.32642487046632124,0.258819045102521,-0.9659258262890682,0.029601518026565465,0,Low,Sensitive resource
user_0019,2,2026-05-15 10:24:43.000000,10.40.43.83,3,1,4,932,10,0419583b-1677-45c9-8cfb-9d2e7075967a,2,2,1,20,Normal,0,10,15,4,0,5,1,0,1,0,0,0,0.35714285714285715,0.49999999999999994,-0.8660254037844387,0.17115749525616697,0,Low,Sensitive resource
svc_0001,1,2026-07-17 16:06:20.000000,192.168.218.107,4,1,2,784,10,94021491-d8ae-437d-81ef-98192c57478e,0,4,1,20,Normal,0,16,17,4,0,7,1,0,1,0,0,0,0.3539325842696629,-0.8660254037844385,-0.5000000000000004,0.1430740037950664,0,Low,Sensitive resource
user_0014,2,2026-05-05 14:24:28.000000,10.81.216.57,0,2,1,791,2,7ecf9e90-0d56-4a91-a9e3-82f599d34e96,0,3,1,0,Normal,0,14,5,1,0,5,1,0,0,0,0,0,0.4,-0.4999999999999997,-0.8660254037844388,0.1444022770398482,0,Low,No risk indicators
user_0031,2,2026-06-14 12:20:15.000000,10.97.151.120,3,2,2,906,2,d16a797d-7435-459b-b43f-826b202d1d8c,1,1,1,10,Normal,0,12,14,6,1,6,1,1,0,0,0,0,0.2634730538922156,1.2246467991473532e-16,-1.0,0.16622390891840608,0,Low,Weekend login
user_0010,2,2026-05-31 13:24:39.000000,192.168.112.70,6,2,4,249,2,8bf3157a-4510-461a-8ef8-40d6ad1fbf1b,1,5,1,10,Normal,0,13,31,6,1,5,1,1,0,0,0,0,0.34183673469387754,-0.2588190451025208,-0.9659258262890683,0.04155597722960152,0,Low,Weekend login
user_0038,2,2026-06-18 15:27:42.000000,10.153.53.253,9,7,2,671,6,94340351-1f55-47c2-bdb6-1f12d855844a,0,2,1,20,Normal,0,15,18,3,0,6,1,0,1,0,0,0,0.2865853658536585,-0.7071067811865471,-0.7071067811865479,0.12163187855787476,0,Low,Sensitive resource
svc_0003,1,2026-05-25 05:25:42.000000,10.127.52.15,8,0,0,746,0,8603dc77-88ab-4dce-9611-39ebd5ea782a,2,2,1,15,Normal,0,5,25,0,0,5,0,0,0,0,0,0,0.32142857142857145,0.9659258262890683,0.25881904510252074,0.13586337760910816,0,Low,Off-hour login
