entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,browser,operating_system,login_result,risk_score,attack_type,label
dev_0001,edge_device,2026-07-03 07:46:08.000000,192.168.209.79,France,PLC,token,858,login>plc,8d2265ae-0867-47b8-acc9-0fe02613db70,Edge,Linux,success,12,Normal,0
user_0034,user,2026-06-13 15:01:31.000000,192.168.41.211,UK,Database,certificate,396,login>vpn>database,7311a3a2-124e-4295-a182-2d24701a7ef7,API,macOS,success,8,Normal,0
user_0039,user,2026-06-16 16:17:18.000000,172.22.175.192,France,Database,password,741,login>server>database,6c64bc02-2d28-4114-950a-49fae1541646,Safari,macOS,success,21,Normal,0
user_0028,user,2026-06-01 16:09:08.000000,172.23.38.59,India,HR,password,354,login>hr,46efdefd-93ab-45ce-af8a-f7ed84cf14a1,API,Windows,success,11,Normal,0
dev_0005,edge_device,2026-06-19 21:16:53.000000,10.101.75.89,Brazil,Production Server,token,819,login>server,be7bf241-aa02-4309-8860-ce04620838c8,API,Windows,success,4,Normal,0
user_0022,user,2026-05-02 11:32:38.000000,10.115.32.127,France,Payroll,MFA,245,login>payroll,a31b62cd-24cf-4f72-9697-644e42c0690c,Edge,Android,success,18,Normal,0
user_0021,user,2026-07-25 10:40:36.000000,192.168.159.143,Brazil,HR,password,939,login>hr,f1e804c2-7940-4782-a7b6-59ff942c79f4,API,Ubuntu,success,23,Normal,0
dev_0001,edge_device,2026-06-29 07:31:40.000000,192.168.209.153,France,IoT Gateway,token,773,login>cloud>iot,8d2265ae-0867-47b8-acc9-0fe02613db70,Edge,Linux,success,25,Normal,0
user_0004,user,2026-07-09 12:07:25.000000,172.16.81.198,Singapore,Database,certificate,738,login>server>database,c1084433-e9e2-46ea-8099-cfac42dfb133,Edge,Linux,success,27,Normal,0
svc_0005,service_account,2026-07-24 23:17:38.000000,192.168.55.51,Japan,Production Server,certificate,627,login>server,5d57a325-a039-4e37-a135-f5bfc828ada6,Edge,Ubuntu,success,9,Normal,0
user_0039,user,2026-05-17 10:28:18.000000,172.22.175.210,France,Payroll,password,926,login>payroll,6c64bc02-2d28-4114-950a-49fae1541646,Safari,macOS,success,5,Normal,0
user_0035,user,2026-06-07 15:08:25.000000,10.160.122.202,Singapore,Payroll,password,750,login>payroll,f07218bf-f0f3-4a94-867d-66f667504c9e,Safari,macOS,success,10,Normal,0
user_0009,user,2026-07-21 12:08:52.000000,192.168.87.56,Germany,VPN,certificate,616,login>vpn,23abb625-40c9-4a2a-bbc3-d1d58d0aea3a,Safari,Ubuntu,success,8,Normal,0
user_0027,user,2026-06-10 12:29:07.000000,10.127.98.206,Germany,VPN,certificate,656,login>vpn,9af1c663-ba5e-4a3e-bc58-78f28d6b95b1,Safari,Linux,success,14,Normal,0
user_0006,user,2026-07-25 09:10:38.000000,192.168.63.47,Singapore,Finance,biometric,484,login>finance,f4aef081-9e0e-4fd1-9d63-3196c819d12e,API,macOS,success,17,Normal,0
user_0027,user,2026-05-14 18:15:25.000000,10.127.98.162,Germany,Finance,certificate,580,login>finance,9af1c663-ba5e-4a3e-bc58-78f28d6b95b1,Safari,Linux,success,13,Normal,0
user_0038,user,2026-07-10 08:22:06.000000,10.153.53.91,USA,VPN,certificate,1082,login>vpn,94340351-1f55-47c2-bdb6-1f12d855844a,API,Linux,success,7,Normal,0
svc_0009,service_account,2026-06-25 00:25:13.000000,172.22.130.63,India,Cloud Dashboard,MFA,508,login>cloud,24c6dd4c-bba2-49cd-a3c0-89940f328f7f,API,Android,success,22,Normal,0
svc_0009,service_account,2026-07-15 20:26:25.000000,172.22.130.50,India,Cloud Dashboard,MFA,874,login>cloud,24c6dd4c-bba2-49cd-a3c0-89940f328f7f,API,Android,success,4,Normal,0
svc_0008,service_account,2026-04-29 17:56:08.000000,10.55.222.172,Australia,VPN,password,718,login>vpn,d8cc8bc6-8d4b-411f-82b8-90abe5a670e0,API,Android,success,25,Normal,0
user_0009,user,2026-05-21 08:44:12.000000,192.168.87.220,Germany,Finance,certificate,702,login>finance,23abb625-40c9-4a2a-bbc3-d1d58d0aea3a,Safari,Ubuntu,success,25,Normal,0
user_0017,user,2026-06-07 13:39:42.000000,192.168.152.184,UK,Cloud Dashboard,certificate,30,login>cloud,16c776ae-77d7-47a5-a047-2b1f5d82656f,Edge,Linux,success,12,Normal,0
user_0030,user,2026-06-10 12:29:40.000000,10.199.135.223,Australia,Cloud Dashboard,token,481,login>cloud,dab42e8b-d88d-4639-ab93-84affb134023,API,Firmware,success,17,Normal,0
user_0039,user,2026-07-10 18:12:47.000000,172.22.175.33,France,Database,password,539,login>vpn>database,6c64bc02-2d28-4114-950a-49fae1541646,Safari,macOS,success,21,Normal,0
user_0029,user,2026-05-26 16:54:18.000000,10.85.208.88,Australia,VPN,token,253,login>vpn,00c6c120-68a9-4c9a-b771-62d6e1c2a691,Chrome,Linux,success,11,Normal,0
user_0027,user,2026-06-16 08:44:11.000000,10.127.98.153,Germany,VPN,certificate,470,login>vpn,9af1c663-ba5e-4a3e-bc58-78f28d6b95b1,Safari,Linux,success,21,Normal,0
svc_0002,service_account,2026-04-29 02:42:38.000000,192.168.75.172,Singapore,Cloud Dashboard,certificate,356,login>cloud,6dc430cf-d03e-4a9a-8eef-11613a2611d2,Firefox,Windows,success,8,Normal,0
dev_0003,edge_device,2026-06-01 13:06:23.000000,172.22.220.186,Brazil,IoT Gateway,token,580,login>cloud>iot,c5e3a45d-0416-4be1-a9de-a7b4d9e5d73c,Edge,Android,success,27,Normal,0
user_0037,user,2026-06-25 10:41:37.000000,10.125.189.35,France,HR,biometric,263,login>hr,35398fc2-c65e-4cb6-8fa3-1f63cf498aa2,Firefox,Android,success,25,Normal,0
user_0035,user,2026-06-15 18:30:29.000000,10.160.122.81,Singapore,Payroll,password,776,login>payroll,f07218bf-f0f3-4a94-867d-66f667504c9e,Safari,macOS,success,17,Normal,0
user_0013,user,2026-04-27 09:31:03.000000,172.28.185.201,Brazil,Cloud Dashboard,password,547,login>cloud,e8a4f7eb-1bcc-4f70-b59e-49bd63602b61,Chrome,Windows,success,15,Normal,0
dev_0003,edge_device,2026-07-11 07:53:59.000000,172.22.220.23,Brazil,Production Server,token,597,login>server,c5e3a45d-0416-4be1-a9de-a7b4d9e5d73c,Edge,Android,success,6,Normal,0
user_0022,user,2026-05-10 17:40:48.000000,10.115.32.196,France,Payroll,MFA,543,login>payroll,a31b62cd-24cf-4f72-9697-644e42c0690c,Edge,Android,success,0,Normal,0
svc_0004,service_account,2026-07-20 04:21:22.000000,10.211.12.210,Australia,Production Server,MFA,787,login>server,e9992184-531c-431b-adac-b062b0f934bc,Edge,macOS,success,13,Normal,0
user_0014,user,2026-04-27 09:46:03.000000,10.81.216.59,Australia,Finance,biometric,240,login>finance,7ecf9e90-0d56-4a91-a9e3-82f599d34e96,API,Ubuntu,success,26,Normal,0
dev_0002,edge_device,2026-06-09 10:37:24.000000,192.168.194.219,Australia,PLC,certificate,664,login>plc,f95ea9d1-d2e9-48c8-a38b-fc96b0af2f93,API,Windows,success,16,Normal,0
user_0026,user,2026-05-27 18:55:00.000000,192.168.27.7,India,Cloud Dashboard,certificate,838,login>cloud,8ee61517-f438-4190-b1f4-e99a471b59fd,Safari,Firmware,success,23,Normal,0
dev_0009,edge_device,2026-05-13 06:11:37.000000,172.24.126.92,Japan,PLC,password,613,login>plc,7e258f18-160b-4a2c-bf80-a9e1e2d5eac2,Firefox,Ubuntu,success,15,Normal,0
dev_0003,edge_device,2026-05-17 17:25:21.000000,172.22.220.109,Brazil,Production Server,token,564,login>server,c5e3a45d-0416-4be1-a9de-a7b4d9e5d73c,Edge,Android,fail,28,Normal,0
user_0007,user,2026-05-30 10:23:52.000000,10.35.23.75,USA,Database,token,448,login>server>database,fe4f4d53-3b9a-4386-b718-578b0d1a02cb,Edge,Windows,success,20,Normal,0
user_0034,user,2026-07-10 13:07:22.000000,192.168.41.45,UK,Database,certificate,849,login>vpn>database,7311a3a2-124e-4295-a182-2d24701a7ef7,API,macOS,success,10,Normal,0
dev_0007,edge_device,2026-06-10 20:39:23.000000,10.90.237.247,USA,Production Server,token,519,login>server,b7bb20a4-6690-449d-8f73-2988644ae253,Safari,Linux,success,14,Normal,0
svc_0004,service_account,2026-07-09 05:30:33.000000,10.211.12.167,Australia,Cloud Dashboard,MFA,76,login>cloud,e9992184-531c-431b-adac-b062b0f934bc,Edge,macOS,success,21,Normal,0
user_0016,user,2026-05-24 09:11:13.000000,10.232.1.226,France,Payroll,password,382,login>payroll,341504dd-8221-44e1-a3e3-4a467f4260aa,Edge,Android,success,14,Normal,0
user_0005,user,2026-07-07 11:48:32.000000,10.47.194.68,UK,Email,token,698,login>email,e03d7c74-4a2a-4966-b026-0f9cb6700500,Firefox,Windows,success,16,Normal,0
user_0018,user,2026-05-24 10:11:02.000000,10.0.165.127,Canada,Database,password,460,login>vpn>database,940a9217-e12e-4336-a842-1615cd2a73c3,Firefox,Linux,success,13,Normal,0
user_0020,user,2026-07-22 17:46:34.000000,192.168.84.134,Australia,Database,MFA,740,login>server>database,ba6fdd1c-e5c7-4ab3-bcd1-74722f7c20bb,Edge,Android,success,7,Normal,0
dev_0006,edge_device,2026-05-20 05:08:17.000000,172.22.196.196,Germany,SCADA,token,251,login>scada,924a8d01-b7e0-4be6-9319-ae8392ec9b6c,Chrome,Windows,success,11,Normal,0
user_0007,user,2026-05-20 13:03:06.000000,10.35.23.98,USA,Payroll,token,187,login>payroll,fe4f4d53-3b9a-4386-b718-578b0d1a02cb,Edge,Windows,success,18,Normal,0
user_0040,user,2026-05-07 16:15:39.000000,10.216.141.245,Germany,Payroll,token,741,login>payroll,385be631-cffa-4ba1-a00d-8b72bb9920a7,Firefox,Linux,success,16,Normal,0
user_0037,user,2026-07-07 16:09:08.000000,10.125.189.63,France,SCADA,biometric,74,login>scada,35398fc2-c65e-4cb6-8fa3-1f63cf498aa2,Firefox,Android,success,76,Lateral Movement,1
user_0005,user,2026-06-20 09:28:29.000000,10.47.194.227,UK,Email,token,330,login>email,e03d7c74-4a2a-4966-b026-0f9cb6700500,Firefox,Windows,success,29,Normal,0
user_0009,user,2026-04-27 18:21:59.000000,192.168.87.234,Germany,VPN,certificate,291,login>vpn,23abb625-40c9-4a2a-bbc3-d1d58d0aea3a,Safari,Ubuntu,success,10,Normal,0
svc_0006,service_account,2026-05-09 01:53:27.000000,172.23.114.7,Australia,Cloud Dashboard,password,682,login>cloud,7a7f36f8-b35e-42ad-8ea5-a3ca82913458,Firefox,macOS,fail,18,Normal,0
user_0022,user,2026-07-09 16:33:19.000000,10.115.32.241,France,Finance,MFA,540,login>finance,a31b62cd-24cf-4f72-9697-644e42c0690c,Edge,Android,success,19,Normal,0
user_0012,user,2026-05-21 18:50:13.000000,10.135.71.19,France,VPN,biometric,312,login>vpn,b767da4b-2996-43e9-bba5-39c4f7f01fef,Firefox,Firmware,success,19,Normal,0
user_0020,user,2026-07-23 16:24:21.000000,192.168.84.118,Australia,Finance,MFA,154,login>finance,ba6fdd1c-e5c7-4ab3-bcd1-74722f7c20bb,Edge,Android,success,18,Normal,0
svc_0004,service_account,2026-06-21 15:27:47.000000,10.211.12.32,Australia,VPN,MFA,457,login>vpn,e9992184-531c-431b-adac-b062b0f934bc,Edge,macOS,success,15,Normal,0
dev_0005,edge_device,2026-05-22 23:09:30.000000,10.101.75.207,Brazil,Production Server,token,474,login>server,be7bf241-aa02-4309-8860-ce04620838c8,API,Windows,success,18,Normal,0
svc_0004,service_account,2026-06-14 03:24:16.000000,10.211.12.139,Australia,Cloud Dashboard,MFA,729,login>cloud,e9992184-531c-431b-adac-b062b0f934bc,Edge,macOS,success,32,Normal,0
svc_0006,service_account,2026-05-04 10:09:52.000000,172.23.114.184,Australia,Cloud Dashboard,password,279,login>cloud,7a7f36f8-b35e-42ad-8ea5-a3ca82913458,Firefox,macOS,success,8,Normal,0
user_0002,user,2026-05-28 16:58:30.000000,192.168.44.115,India,Email,MFA,638,login>email,8e0148f7-9de8-4a46-a286-6c4a26c50ebc,Chrome,Linux,success,5,Normal,0
svc_0010,service_account,2026-05-23 06:51:12.000000,172.29.35.189,USA,Cloud Dashboard,certificate,781,login>cloud,67630e3e-9b3d-4703-9e69-15d4e248ed2f,Firefox,Android,success,22,Normal,0
svc_0009,service_account,2026-05-23 11:37:37.000000,172.22.130.198,India,Database,MFA,456,login>vpn>database,24c6dd4c-bba2-49cd-a3c0-89940f328f7f,API,Android,success,10,Normal,0
user_0028,user,2026-07-09 14:51:31.000000,172.23.38.29,India,Email,password,531,login>email,46efdefd-93ab-45ce-af8a-f7ed84cf14a1,API,Windows,success,22,Normal,0
user_0040,user,2026-05-05 18:09:57.000000,10.216.141.145,Germany,Payroll,token,724,login>payroll,385be631-cffa-4ba1-a00d-8b72bb9920a7,Firefox,Linux,success,36,Normal,0
svc_0001,service_account,2026-06-26 02:21:33.000000,192.168.218.144,Germany,VPN,certificate,1024,login>vpn,94021491-d8ae-437d-81ef-98192c57478e,API,Windows,success,22,Normal,0
dev_0010,edge_device,2026-07-13 11:59:20.000000,192.168.146.201,Canada,Production Server,MFA,186,login>server,a8e21831-21fe-49b6-a148-5fca88e12937,API,Windows,success,5,Normal,0
user_0019,user,2026-05-15 10:24:43.000000,10.40.43.83,France,Database,token,932,login>server>database,0419583b-1677-45c9-8cfb-9d2e7075967a,Edge,Linux,success,17,Normal,0
svc_0001,service_account,2026-07-17 16:06:20.000000,192.168.218.107,Germany,Database,certificate,784,login>server>database,94021491-d8ae-437d-81ef-98192c57478e,API,Windows,success,19,Normal,0
user_0014,user,2026-05-05 14:24:28.000000,10.81.216.57,Australia,Email,biometric,791,login>email,7ecf9e90-0d56-4a91-a9e3-82f599d34e96,API,Ubuntu,success,21,Normal,0
user_0031,user,2026-06-14 12:20:15.000000,10.97.151.120,France,Email,certificate,906,login>email,d16a797d-7435-459b-b43f-826b202d1d8c,Chrome,Firmware,success,17,Normal,0
user_0010,user,2026-05-31 13:24:39.000000,192.168.112.70,Japan,Email,token,249,login>email,8bf3157a-4510-461a-8ef8-40d6ad1fbf1b,Chrome,macOS,success,8,Normal,0
user_0038,user,2026-06-18 15:27:42.000000,10.153.53.253,USA,Payroll,certificate,671,login>payroll,94340351-1f55-47c2-bdb6-1f12d855844a,API,Linux,success,6,Normal,0
svc_0003,service_account,2026-05-25 05:25:42.000000,10.127.52.15,UK,Cloud Dashboard,MFA,746,login>cloud,8603dc77-88ab-4dce-9611-39ebd5ea782a,Edge,Linux,success,9,Normal,0
user_0006,user,2026-05-26 13:13:39.000000,192.168.63.118,Singapore,Finance,biometric,740,login>finance,f4aef081-9e0e-4fd1-9d63-3196c819d12e,API,macOS,success,22,Normal,0
dev_0010,edge_device,2026-05-24 01:52:41.000000,192.168.146.134,Canada,PLC,MFA,721,login>plc,a8e21831-21fe-49b6-a148-5fca88e12937,API,Windows,success,10,Normal,0
user_0034,user,2026-07-17 10:13:04.000000,192.168.41.91,UK,HR,certificate,507,login>hr,7311a3a2-124e-4295-a182-2d24701a7ef7,API,macOS,success,18,Normal,0
user_0013,user,2026-07-05 17:31:19.000000,172.28.185.146,Brazil,VPN,password,359,login>vpn,e8a4f7eb-1bcc-4f70-b59e-49bd63602b61,Chrome,Windows,success,11,Normal,0
dev_0008,edge_device,2026-07-02 15:44:08.000000,192.168.162.73,France,Production Server,token,577,login>server,03efd209-f2ee-4eaa-9c68-09e209b5a94e,Safari,Linux,success,16,Normal,0
user_0037,user,2026-07-07 12:34:46.000000,10.125.189.62,France,VPN,biometric,367,login>vpn,35398fc2-c65e-4cb6-8fa3-1f63cf498aa2,Firefox,Android,success,26,Normal,0
dev_0009,edge_device,2026-07-19 10:15:26.000000,172.24.126.235,Japan,PLC,password,611,login>plc,7e258f18-160b-4a2c-bf80-a9e1e2d5eac2,Firefox,Ubuntu,success,23,Normal,0
dev_0004,edge_device,2026-05-06 16:06:06.000000,192.168.86.186,USA,PLC,certificate,540,login>plc,4dfeaaab-a98f-4fc9-aa42-b7be7677378f,Edge,Firmware,success,26,Normal,0
svc_0006,service_account,2026-05-25 07:59:17.000000,172.23.114.208,Australia,VPN,password,439,login>vpn,7a7f36f8-b35e-42ad-8ea5-a3ca82913458,Firefox,macOS,success,27,Normal,0
dev_0007,edge_device,2026-05-30 21:23:15.000000,10.90.237.252,USA,SCADA,token,457,login>scada,b7bb20a4-6690-449d-8f73-2988644ae253,Safari,Linux,success,24,Normal,0
dev_0007,edge_device,2026-07-18 19:20:55.000000,10.90.237.249,USA,Production Server,token,502,login>server,b7bb20a4-6690-449d-8f73-2988644ae253,Safari,Linux,success,15,Normal,0
user_0036,user,2026-07-06 11:13:39.000000,10.234.51.183,France,Finance,certificate,496,login>finance,9f7b0e49-3dc8-4763-9238-7a6e4d9eb10c,Firefox,Linux,success,16,Normal,0
user_0001,user,2026-07-03 15:22:19.000000,192.168.57.165,Japan,Database,password,380,login>vpn>database,37d4a96c-874f-407e-ac71-59c3c745b2da,Edge,Linux,success,3,Normal,0
user_0025,user,2026-06-30 16:04:56.000000,172.22.48.233,Canada,Database,token,599,login>vpn>database,e7ed4954-eb4d-4d0f-944d-6bf6600bc757,Safari,Ubuntu,success,28,Normal,0
user_0001,user,2026-05-03 22:12:01.000000,192.168.57.142,Japan,Database,password,236,login>server>database,37d4a96c-874f-407e-ac71-59c3c745b2da,Edge,Linux,success,97,Impossible Travel,1
svc_0001,service_account,2026-06-11 09:16:26.000000,192.168.218.250,Germany,VPN,certificate,557,login>vpn,94021491-d8ae-437d-81ef-98192c57478e,API,Windows,success,21,Normal,0
user_0001,user,2026-06-10 01:41:03.000000,192.168.57.168,Japan,Email,password,107,login>email,37d4a96c-874f-407e-ac71-59c3c745b2da,Edge,Linux,success,100,Impossible Travel,1
dev_0010,edge_device,2026-07-08 18:40:35.000000,192.168.146.188,Canada,PLC,MFA,992,login>plc,a8e21831-21fe-49b6-a148-5fca88e12937,API,Windows,success,15,Normal,0
user_0015,user,2026-06-27 10:58:43.000000,172.16.58.230,Canada,Finance,token,482,login>finance,d1d7bac8-d450-48cc-8687-b0f5d9d97b11,Chrome,macOS,success,17,Normal,0
user_0012,user,2026-05-16 14:06:22.000000,10.135.71.142,France,VPN,biometric,522,login>vpn,b767da4b-2996-43e9-bba5-39c4f7f01fef,Firefox,Firmware,success,7,Normal,0
user_0023,user,2026-05-14 00:57:01.000000,10.36.30.195,Canada,Email,MFA,978,login>email,6e5b34bb-8170-4f57-8e20-74651e0c2403,Chrome,Android,success,20,Normal,0
user_0001,user,2026-07-06 14:53:51.000000,192.168.57.158,Japan,Database,password,677,login>vpn>database,37d4a96c-874f-407e-ac71-59c3c745b2da,Edge,Linux,success,0,Normal,0
user_0014,user,2026-07-18 11:04:50.000000,10.81.216.171,Australia,Finance,biometric,30,login>finance,7ecf9e90-0d56-4a91-a9e3-82f599d34e96,API,Ubuntu,success,4,Normal,0
dev_0008,edge_device,2026-05-18 05:14:12.000000,192.168.162.176,France,PLC,token,837,login>plc,03efd209-f2ee-4eaa-9c68-09e209b5a94e,Safari,Linux,success,7,Normal,0
user_0009,user,2026-06-15 16:47:25.000000,192.168.87.49,Germany,VPN,certificate,851,login>vpn,23abb625-40c9-4a2a-bbc3-d1d58d0aea3a,Safari,Ubuntu,success,30,Normal,0
user_0020,user,2026-06-26 14:08:03.000000,192.168.84.65,Australia,Database,MFA,82,login>vpn>database,ba6fdd1c-e5c7-4ab3-bcd1-74722f7c20bb,Edge,Android,fail,92,Brute Force,1
svc_0008,service_account,2026-06-01 16:38:18.000000,10.55.222.252,Australia,VPN,password,507,login>vpn,d8cc8bc6-8d4b-411f-82b8-90abe5a670e0,API,Android,success,23,Normal,0
user_0024,user,2026-05-07 08:36:53.000000,172.31.109.209,UK,Finance,token,811,login>finance,5cff8913-d46f-4c2c-bdf1-c5a4b4669854,Safari,Linux,success,19,Normal,0
user_0030,user,2026-07-14 13:54:30.000000,10.199.135.245,Australia,HR,token,475,login>hr,dab42e8b-d88d-4639-ab93-84affb134023,API,Firmware,success,19,Normal,0
dev_0010,edge_device,2026-06-02 08:39:53.000000,192.168.146.195,Canada,Production Server,MFA,681,login>server,a8e21831-21fe-49b6-a148-5fca88e12937,API,Windows,success,13,Normal,0
dev_0008,edge_device,2026-07-04 13:22:59.000000,192.168.162.224,France,PLC,token,603,login>plc,03efd209-f2ee-4eaa-9c68-09e209b5a94e,Safari,Linux,success,8,Normal,0
user_0001,user,2026-05-03 22:22:01.000000,62.14.12.119,Australia,Database,password,262,login>server>database,37d4a96c-874f-407e-ac71-59c3c745b2da,Edge,Linux,success,98,Impossible Travel,1
user_0026,user,2026-05-18 08:03:29.000000,192.168.27.51,India,Cloud Dashboard,certificate,616,login>cloud,8ee61517-f438-4190-b1f4-e99a471b59fd,Safari,Firmware,success,12,Normal,0
user_0027,user,2026-06-02 11:54:46.000000,10.127.98.85,Germany,HR,certificate,504,login>hr,9af1c663-ba5e-4a3e-bc58-78f28d6b95b1,Safari,Linux,success,21,Normal,0
user_0020,user,2026-06-30 14:18:41.000000,192.168.84.26,Australia,Payroll,MFA,486,login>payroll,ba6fdd1c-e5c7-4ab3-bcd1-74722f7c20bb,Edge,Android,success,29,Normal,0
user_0025,user,2026-06-03 16:09:12.000000,172.22.48.27,Canada,Email,token,509,login>email,e7ed4954-eb4d-4d0f-944d-6bf6600bc757,Safari,Ubuntu,success,0,Normal,0
user_0032,user,2026-07-07 14:12:04.000000,10.25.244.153,India,Finance,MFA,456,login>finance,3e4da5e7-f91f-470a-8a69-4be6ed39df33,API,Windows,success,20,Normal,0
user_0011,user,2026-06-19 12:02:27.000000,172.18.108.171,Japan,Finance,token,798,login>finance,f32d7071-b794-46a8-8768-7ff71d311afe,Safari,Ubuntu,success,10,Normal,0
user_0001,user,2026-05-26 19:26:08.000000,192.168.57.242,Japan,Database,password,1025,login>server>database,37d4a96c-874f-407e-ac71-59c3c745b2da,Edge,Linux,success,9,Normal,0
svc_0001,service_account,2026-06-08 02:26:25.000000,192.168.218.131,Germany,Database,certificate,713,login>vpn>database,94021491-d8ae-437d-81ef-98192c57478e,API,Windows,success,23,Normal,0
user_0032,user,2026-05-27 10:53:51.000000,10.25.244.169,India,Cloud Dashboard,MFA,686,login>cloud,3e4da5e7-f91f-470a-8a69-4be6ed39df33,API,Windows,success,11,Normal,0
dev_0001,edge_device,2026-06-02 12:31:29.000000,192.168.209.124,France,IoT Gateway,token,593,login>iot,8d2265ae-0867-47b8-acc9-0fe02613db70,Edge,Linux,fail,10,Normal,0
dev_0009,edge_device,2026-07-18 13:50:31.000000,172.24.126.14,Japan,Production Server,password,663,login>server,7e258f18-160b-4a2c-bf80-a9e1e2d5eac2,Firefox,Ubuntu,success,14,Normal,0
dev_0005,edge_device,2026-05-08 04:17:21.000000,10.101.75.154,Brazil,Production Server,token,700,login>server,be7bf241-aa02-4309-8860-ce04620838c8,API,Windows,success,12,Normal,0
user_0037,user,2026-06-22 08:21:15.000000,10.125.189.171,France,Payroll,biometric,285,login>payroll,35398fc2-c65e-4cb6-8fa3-1f63cf498aa2,Firefox,Android,success,25,Normal,0
dev_0007,edge_device,2026-05-24 22:42:32.000000,10.90.237.175,USA,Production Server,token,947,login>server,b7bb20a4-6690-449d-8f73-2988644ae253,Safari,Linux,success,7,Normal,0
user_0026,user,2026-05-01 16:51:36.000000,192.168.27.174,India,Email,certificate,639,login>email,8ee61517-f438-4190-b1f4-e99a471b59fd,Safari,Firmware,success,7,Normal,0
dev_0006,edge_device,2026-06-18 05:23:05.000000,172.22.196.254,Germany,SCADA,token,805,login>scada,924a8d01-b7e0-4be6-9319-ae8392ec9b6c,Chrome,Windows,success,12,Normal,0
user_0016,user,2026-07-09 15:30:09.000000,10.232.1.210,France,Database,password,664,login>server>database,341504dd-8221-44e1-a3e3-4a467f4260aa,Edge,Android,success,7,Normal,0
user_0019,user,2026-07-20 17:36:50.000000,10.40.43.144,France,Email,token,845,login>email,0419583b-1677-45c9-8cfb-9d2e7075967a,Edge,Linux,success,5,Normal,0
dev_0007,edge_device,2026-04-27 16:17:41.000000,10.90.237.68,USA,Production Server,token,336,login>server,b7bb20a4-6690-449d-8f73-2988644ae253,Safari,Linux,success,19,Normal,0
dev_0008,edge_device,2026-06-26 00:17:25.000000,192.168.162.25,France,IoT Gateway,token,690,login>iot,03efd209-f2ee-4eaa-9c68-09e209b5a94e,Safari,Linux,success,10,Normal,0
user_0038,user,2026-05-10 17:40:35.000000,10.153.53.92,USA,VPN,certificate,749,login>vpn,94340351-1f55-47c2-bdb6-1f12d855844a,API,Linux,success,1,Normal,0
user_0024,user,2026-07-15 14:00:18.000000,172.31.109.14,UK,Cloud Dashboard,token,557,login>cloud,5cff8913-d46f-4c2c-bdf1-c5a4b4669854,Safari,Linux,success,7,Normal,0
svc_0007,service_account,2026-04-27 22:35:42.000000,172.27.204.80,Singapore,Database,certificate,360,login>vpn>database,5edd09e9-9d87-49a4-8977-a9d5095bda0f,Edge,Android,success,22,Normal,0
dev_0008,edge_device,2026-07-06 02:02:21.000000,192.168.162.18,France,IoT Gateway,token,334,login>cloud>iot,03efd209-f2ee-4eaa-9c68-09e209b5a94e,Safari,Linux,success,12,Normal,0
user_0010,user,2026-06-24 10:12:20.000000,192.168.112.39,Japan,Payroll,token,647,login>payroll,8bf3157a-4510-461a-8ef8-40d6ad1fbf1b,Chrome,macOS,fail,15,Normal,0
